/Users/qpwoeirut/CompetitiveProgramming/AdventOfCode/venv/bin/pypy3 /Users/qpwoeirut/CTF/CTFs/DownUnderCTF/2024/crypto/my_array_generator/solve_my_array_generator.py
0 1 ??_??_??_??
1 2 ??_??_??_??
2 3 ??_??_??_??
3 4 ??_??_??_??
4 5 ??_??_??_??
3 7 2b_??_??_??
4 8 75_??_??_??
5 9 8a_??_??_??
9 10 ??_??_??_??
10 11 ??_??_??_??
11 12 ??_??_??_??
12 13 ??_??_??_??
13 14 ??_??_??_??
14 15 ??_??_??_??
15 16 ??_??_??_??
16 17 ??_??_??_??
17 18 ??_??_??_??
18 19 ??_??_??_??
17 20 ??_??_??_??
20 21 ??_??_??_??
21 22 ??_??_??_??
22 23 ??_??_??_??
23 24 ??_??_??_??
24 25 ??_??_??_??
25 26 ??_??_??_??
26 27 ??_??_??_??
27 28 ??_??_??_??
28 29 ??_??_??_??
29 30 ??_??_??_??
28 31 ??_??_??_??
31 32 ??_??_??_??
32 33 ??_??_??_??
33 34 ??_??_??_??
34 35 ??_??_??_??
35 36 ??_??_??_??
36 37 ??_??_??_??
37 38 ??_??_??_??
38 39 ??_??_??_??
39 40 ??_??_??_??
40 41 ??_??_??_??
41 42 ??_??_??_??
42 43 ??_??_??_??
43 44 ??_??_??_??
44 45 ??_??_??_??
45 46 ??_??_??_??
46 47 ??_??_??_??
47 48 ??_??_??_??
48 49 ??_??_??_??
49 50 ??_??_??_??
50 51 ??_??_??_??
51 52 ??_??_??_??
52 53 ??_??_??_??
53 54 ??_??_??_??
54 55 ??_??_??_??
55 56 ??_??_??_??
56 57 ??_??_??_??
57 58 ??_??_??_??
58 59 ??_??_??_??
59 60 ??_??_??_??
60 61 ??_??_??_??
61 62 ??_??_??_??
62 63 ??_??_??_??
63 64 ??_??_??_??
64 65 ??_??_??_??
63 66 ??_??_??_??
64 67 ??_??_??_??
67 68 ??_??_??_??
68 69 ??_??_??_??
69 70 ??_??_??_??
70 71 ??_??_??_??
71 72 ??_??_??_??
70 73 ??_??_??_??
71 74 ??_??_??_??
74 75 ??_??_??_??
75 76 ??_??_??_??
76 77 ??_??_??_??
77 78 ??_??_??_??
78 79 ??_??_??_??
79 80 ??_??_??_??
80 81 ??_??_??_??
81 82 ??_??_??_??
82 83 ??_??_??_??
83 84 ??_??_??_??
84 85 ??_??_??_??
85 86 ??_??_??_??
86 87 ??_??_??_??
87 88 ??_??_??_??
88 89 ??_??_??_??
89 90 ??_??_??_??
90 91 ??_??_??_??
91 92 ??_??_??_??
92 93 ??_??_??_??
93 94 ??_??_??_??
94 95 ??_??_??_??
95 96 ??_??_??_??
96 97 ??_??_??_??
95 98 ??_??_??_??
98 99 ??_??_??_??
99 100 ??_??_??_??
100 101 ??_??_??_??
101 102 ??_??_??_??
102 103 ??_??_??_??
103 104 ??_??_??_??
104 105 ??_??_??_??
105 106 ??_??_??_??
106 107 ??_??_??_??
107 108 ??_??_??_??
108 109 ??_??_??_??
109 110 ??_??_??_??
110 111 ??_??_??_??
111 112 ??_??_??_??
112 113 ??_??_??_??
113 114 ??_??_??_??
114 115 ??_??_??_??
115 116 ??_??_??_??
116 117 ??_??_??_??
117 118 ??_??_??_??
118 119 ??_??_??_??
119 120 ??_??_??_??
118 121 ??_??_??_??
121 122 ??_??_??_??
122 123 ??_??_??_??
123 124 ??_??_??_??
124 125 ??_??_??_??
125 126 ??_??_??_??
126 127 ??_??_??_??
126 128 ??_??_??_??
131 129 ??_??_??_??
133 130 ??_??_??_??
134 133 ??_6f_??_??
134 135 ??_6f_??_??
134 136 ??_6f_??_??
136 137 d9_73_??_??
136 138 d9_73_??_??
136 139 d9_73_??_??
144 141 c7_1f_??_??
144 142 c7_1f_??_??
153 143 ??_??_f9_??
153 144 ??_??_f9_??
157 145 ??_??_e0_??
156 146 ??_??_2e_??
161 147 ??_??_??_c9
161 148 ??_??_??_c9
161 149 ??_??_??_c9
165 150 ??_??_??_??
165 151 ??_??_??_??
176 152 b6_??_??_??
180 153 ??_??_??_??
179 154 ??_??_??_5c
181 155 ??_??_??_d1
180 156 ??_??_??_d1
190 158 ??_d2_d1_??
190 159 ??_d2_d1_??
190 160 ??_d2_d1_??
194 161 ??_??_??_ec
195 162 ??_??_??_13
198 163 ??_??_??_f5
197 164 f0_??_??_ec
198 165 ??_??_??_f5
203 167 ??_??_cb_??
204 168 ??_??_2e_??
207 169 ??_??_e4_??
215 170 ??_??_ff_??
217 172 fd_??_4a_??
217 173 fd_??_4a_??
218 174 11_??_??_??
222 175 ??_??_0e_??
226 177 3c_??_??_??
228 179 ??_7a_??_??
232 180 ??_??_??_??
231 181 ??_??_??_??
233 182 ??_??_a8_??
232 183 ??_??_fd_??
233 184 ??_??_a8_??
233 185 ??_??_a8_??
235 186 ??_??_48_??
243 188 ??_54_??_??
243 190 ??_54_??_ec
250 191 ??_32_??_??
250 192 ??_32_??_??
253 193 ??_??_??_??
254 194 ??_??_??_??
254 195 ??_??_??_??
258 196 6b_??_??_??
259 197 59_??_??_??
259 198 59_??_??_??
259 199 59_??_??_??
261 200 ac_??_2d_??
267 202 7d_??_??_??
267 203 7d_??_??_??
269 204 2b_??_??_??
269 206 2b_??_??_6a
270 207 8a_??_??_15
271 208 75_??_??_9e
271 209 75_??_??_9e
271 210 75_??_??_9e
281 211 ??_??_61_??
284 212 ??_??_0b_??
285 213 ??_17_??_??
286 214 ??_79_??_??
286 215 ??_79_??_??
300 216 ??_??_ee_??
301 219 5c_??_1b_??
301 220 5c_??_1b_??
301 221 5c_??_1b_??
301 222 5c_??_1b_??
301 223 5c_??_1b_??
301 225 5c_??_1b_??
301 226 5c_??_1b_??
301 227 5c_??_1b_??
352 228 2d_fc_??_??
352 229 2d_fc_??_??
356 230 ??_??_27_??
361 231 ??_??_32_??
362 232 d6_??_??_??
361 234 05_??_32_??
361 235 05_??_32_??
361 236 05_??_32_??
361 237 05_??_32_??
361 238 05_??_32_??
361 239 05_??_32_??
371 240 ??_??_2f_??
367 241 75_??_??_??
367 242 75_??_??_??
375 243 ??_a0_??_19
375 244 ??_a0_??_19
376 245 ??_e0_??_20
384 246 ??_??_??_33
385 247 ??_??_67_e7
384 248 ??_??_31_33
384 249 ??_??_31_33
388 250 ??_c7_cc_??
388 251 ??_c7_cc_??
388 252 ??_c7_cc_??
388 253 ??_c7_cc_??
388 254 ??_c7_cc_??
388 255 ??_c7_cc_??
388 256 ??_c7_cc_??
388 257 ??_c7_cc_??
440 258 ??_ce_??_??
440 259 ??_ce_??_??
440 260 ??_ce_??_??
440 261 ??_ce_??_??
452 262 ??_??_??_d5
453 263 ??_??_??_45
452 265 ??_16_??_d5
452 266 ??_16_??_d5
452 267 ??_16_??_d5
453 268 ??_87_??_45
453 270 ??_87_??_45
453 271 ??_87_??_45
461 272 2b_3b_81_??
466 273 ??_??_1d_??
467 274 ??_??_2f_??
468 275 ??_??_c2_??
469 277 ??_??_ac_d0
471 278 ??_??_1f_e6
472 279 ??_??_f8_20
474 280 60_??_20_??
474 281 60_??_20_??
475 282 f2_??_83_??
475 283 f2_??_83_??
475 284 f2_??_83_??
475 285 f2_??_83_??
475 286 f2_??_83_??
495 288 ??_78_??_??
511 289 ??_ff_??_00
514 290 81_9a_??_??
513 291 fd_e3_b5_??
512 292 ??_5d_e9_e6
514 294 81_9a_25_??
514 295 81_9a_25_??
514 296 81_9a_25_??
514 298 81_9a_25_0e
521 299 ??_00_f9_??
523 300 d6_??_cb_??
529 302 ??_??_??_c9
530 304 5c_??_??_dd
533 305 ac_??_??_??
534 306 11_??_??_??
538 307 7a_??_??_??
535 308 dc_??_??_87
